ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.733,0.681,0.213,0.643,0.32,0.314,0.357,2.013,64,1.1,0.005,2.0,0.5
0.734,0.666,0.209,0.667,0.319,0.334,0.333,1.293,64,1.5,0.001,0.5,0.5
0.728,0.686,0.211,0.614,0.314,0.304,0.386,1.293,64,1.5,0.001,1.0,0.5
0.72,0.656,0.2,0.646,0.305,0.343,0.354,1.293,64,1.5,0.001,2.0,0.5
0.764,0.688,0.227,0.692,0.342,0.313,0.308,1.293,64,1.5,0.003,0.5,0.5
0.746,0.675,0.215,0.671,0.326,0.325,0.329,1.293,64,1.5,0.003,1.0,0.5
0.755,0.676,0.22,0.697,0.335,0.327,0.303,1.293,64,1.5,0.003,2.0,0.5
0.75,0.674,0.217,0.686,0.33,0.328,0.314,1.293,64,1.5,0.005,0.5,0.5
0.781,0.767,0.28,0.629,0.387,0.215,0.371,1.293,64,1.5,0.005,1.0,0.5
0.765,0.688,0.229,0.704,0.346,0.314,0.296,1.293,64,1.5,0.005,2.0,0.5
